Date,Temperature,Humidity,CPU
2013-11-10,50,48,140460.76
2013-11-11,50,55,140787.6
2013-11-12,42,68,137659.42
2013-11-13,51,34,258181.4
2013-11-14,49,48,188081.51
2013-11-15,48,46,163520.05
2013-11-16,47,39,126082.47
2013-11-17,46,40,99142.561
2013-11-18,47,41,147958.53
2013-11-19,46,38,151382.38
2013-11-20,44,46,217925.43
2013-11-21,22,86,163971.82
2013-11-22,26,71,204673.45
2013-11-23,28,74,201310.7
2013-11-24,28,84,213980.36
2013-11-25,36,71,157807.52
2013-11-26,40,55,225112.23
2013-11-27,45,50,281472.25
2013-11-28,38,64,152596.2
2013-11-29,47,47,100838.95
2013-11-30,46,36,125797.24
2013-12-01,44,42,219331.89
2013-12-02,52,29,174287.68
2013-12-03,34,53,203697.63
2013-12-04,11,76,56474.723
2013-12-05,6,67,158494.24
2013-12-06,4,76,185917.91
2013-12-07,4,81,130356.47
2013-12-08,12,81,112775.89
2013-12-09,15,57,116454.4
2013-12-10,34,39,151739.69
2013-12-11,22,75,247077.64
2013-12-12,34,57,119909.42
2013-12-13,38,48,118612.06
2013-12-14,34,50,117083.72
2013-12-15,42,31,110279.32
2013-12-16,52,23,169466.76
2013-12-17,46,30,148463.55
2013-12-18,58,20,212034.53
2013-12-19,34,61,92012.067
2013-12-20,22,92,98685.521
2013-12-21,24,88,74585.132
2013-12-22,28,73,58011.901
2013-12-23,30,79,104077.04
2013-12-24,41,38,82676.761
2013-12-25,32,43,134786.84
2013-12-26,44,28,131028.13
2013-12-27,44,42,139592.27
2013-12-28,38,57,219236.71
2013-12-29,26,65,79361.489
2013-12-30,41,33,188178.87
2013-12-31,44,35,71238.094
